name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2003-03-12,22'1 ºC,4'0 ºC,12'7 ºC,22.1,2.9,12.5,2.8,54.4,0.0 l/m2,0,0.0,,,,,11.4 m/s,356.1,1023.9,24.4,10.5,,,,,2003-03-12T07:32:02,2003-03-12T19:17:50,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,2022-12-27,15'0 ºC,4'0 ºC,8'3 ºC,15.0,4.0,8.3,5.7,85.3,0.0 l/m2,0,0.0,,0.0,0.0,11.5,8.2 m/s,329.8,1031.1,2.3,12.2,99.0,8.5,4.0,10.0,2022-12-27T08:36:55,2022-12-27T17:54:51,0.14,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2012-09-07,31'0 ºC,17'7 ºC,24'5 ºC,29.3,17.7,24.0,8.2,37.6,0.069 l/m2,100,4.17,rain,,,29.5,10.9 m/s,82.9,1020.6,20.6,18.1,267.9,23.4,9.0,,2012-09-07T07:48:01,2012-09-07T20:36:34,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,08227099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,1989-02-27,9'0 ºC,3'6 ºC,6'3 ºC,5.7,-1.2,2.3,0.8,68.3,0.0 l/m2,0,0.0,,,40.0,,36.7 m/s,269.9,1011.0,58.5,12.4,,,,,1989-02-27T07:51:41,1989-02-27T19:03:57,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08215099999,08220099999"
madrid,2013-05-16,14'0 ºC,3'4 ºC,9'1 ºC,14.0,3.3,8.8,2.7,67.4,0.256 l/m2,100,12.5,rain,,1.0,40.7,28.4 m/s,263.5,1003.2,48.3,17.5,205.0,17.4,6.0,,2013-05-16T06:57:31,2013-05-16T21:25:18,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEVS,LEGT,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,2011-08-03,31'8 ºC,15'6 ºC,24'2 ºC,30.6,15.6,23.9,12.2,50.3,0.22 l/m2,100,4.17,rain,,,,11.2 m/s,294.6,1018.6,13.6,18.8,335.2,29.0,10.0,,2011-08-03T07:13:32,2011-08-03T21:27:48,0.13,Rain,Clear conditions throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,LETO,08219099999,08223099999,08215099999"
madrid,1996-04-11,22'3 ºC,7'1 ºC,15'6 ºC,22.3,7.1,15.6,5.6,55.5,0.0 l/m2,0,0.0,,,75.0,,16.6 m/s,260.7,1013.3,36.8,11.9,,,,,1996-04-11T07:42:15,1996-04-11T20:49:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,2016-05-26,23'9 ºC,12'3 ºC,18'2 ºC,23.9,12.3,18.2,8.2,55.0,0.0 l/m2,0,0.0,,,,34.7,16.5 m/s,238.0,1011.4,57.1,16.8,314.8,27.1,9.0,,2016-05-26T06:49:44,2016-05-26T21:34:26,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08272099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
madrid,1981-12-30,13'8 ºC,2'3 ºC,9'2 ºC,13.8,-2.4,7.1,5.9,81.6,24.205 l/m2,100,4.17,rain,,,,66.0 m/s,214.1,992.2,67.2,10.0,,,,,1981-12-30T08:37:44,1981-12-30T17:57:03,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08227099999,08221099999,08224099999,08272099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1988-08-11,32'9 ºC,14'6 ºC,24'6 ºC,31.0,14.6,23.9,9.3,40.9,0.0 l/m2,0,0.0,,,,,17.9 m/s,242.4,1011.1,5.6,12.6,,,,,1988-08-11T07:21:40,1988-08-11T21:17:26,0.96,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08223099999,08220099999,08215099999"
madrid,2010-11-05,20'3 ºC,8'0 ºC,13'4 ºC,20.3,7.5,13.3,7.5,71.3,0.0 l/m2,0,0.0,,,,,9.7 m/s,24.8,1028.1,5.2,19.4,153.4,13.3,6.0,,2010-11-05T07:48:54,2010-11-05T18:07:14,0.97,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,2001-02-10,14'9 ºC,7'1 ºC,9'8 ºC,14.9,5.6,9.4,7.8,87.8,0.862 l/m2,100,8.33,rain,,95.0,,10.3 m/s,193.9,1033.0,76.4,8.5,,,,,2001-02-10T08:14:33,2001-02-10T18:44:02,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,08272099999,08213099999,08219099999,08223099999,08215099999"
